path,text,num_frames,height,width
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,1,144,256
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,1,240,426
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,1,360,640
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,1,480,854
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,1,720,1280
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,51,144,256
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,51,240,426
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,51,360,640
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,51,480,854
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,51,720,1280
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,102,144,256
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,102,240,426
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,102,360,640
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,102,480,854
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,204,144,256
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,204,240,426
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,204,360,640
./assets/example_data/suv-in-the-dust.mp4,suv in the dust,204,480,854
